Rank (Borda),Model,Total Parameters (B),Embedding Dimensions,Max Tokens,Reranking,Retrieval
19,jina-embeddings-v5-text-nano,0.212,768.0,8192.0,64.63,63.26
83,granite-embedding-97m-multilingual-r2,0.097,384.0,8192.0,59.39,60.32
58,F2LLM-v2-160M,0.159,640.0,40960.0,60.34,54.08
66,multilingual-e5-small,0.118,384.0,512.0,60.43,50.91
69,F2LLM-v2-80M,0.08,320.0,40960.0,58.95,50.13
60,bilingual-embedding-small,0.118,384.0,512.0,59.31,49.55
84,granite-embedding-107m-multilingual,0.107,384.0,512.0,58.48,48.08
114,static-similarity-mrl-multilingual-v1,0.108,1024.0,0.0,49.45,41.21
88,nomic-embed-text-v1-ablated,0.137,768.0,8192.0,45.04,40.74
99,nomic-embed-text-v1-unsupervised,0.137,768.0,8192.0,48.18,40.66
92,e5-base-v2,0.109,768.0,512.0,47.5,40.49
136,snowflake-arctic-embed-s,0.033,384.0,512.0,40.03,39.84
113,e5-small-v2,0.033,384.0,512.0,44.44,39.38
134,snowflake-arctic-embed-m,0.109,768.0,512.0,42.76,39.33
130,snowflake-arctic-embed-m-long,0.137,768.0,2048.0,41.66,39.3
121,granite-embedding-125m-english,0.125,768.0,512.0,45.99,39.26
138,snowflake-arctic-embed-m-v1.5,0.109,768.0,512.0,42.37,38.69
104,bge-base-en-v1.5,0.109,768.0,512.0,47.57,38.61
97,GIST-Embedding-v0,0.109,768.0,512.0,45.64,38.45
151,jina-embedding-b-en-v1,0.11,768.0,512.0,41.65,37.96
111,potion-multilingual-128M,0.128,256.0,0.0,47.39,37.86
101,NoInstruct-small-Embedding-v0,0.033,384.0,512.0,43.59,37.81
112,e5-base,0.109,768.0,512.0,41.49,37.69
105,GIST-small-Embedding-v0,0.033,384.0,512.0,43.25,37.22
87,nomic-embed-text-v1,0.137,768.0,8192.0,46.01,37.05
102,e5-base-4k,0.112,0.0,4096.0,42.47,36.78
96,paraphrase-multilingual-MiniLM-L12-v2,0.118,384.0,512.0,50.97,36.61
141,granite-embedding-30m-english,0.03,384.0,512.0,42.53,36.43
115,bge-small-en-v1.5,0.033,512.0,512.0,45.89,36.26
124,e5-small,0.033,384.0,512.0,39.3,36.25
117,gte-small,0.033,384.0,512.0,45.77,35.99
110,gte-base,0.109,768.0,512.0,46.94,35.86
100,stella-base-en-v2,0.109,0.0,512.0,43.86,35.28
155,snowflake-arctic-embed-xs,0.023,384.0,512.0,39.69,35.23
118,MedEmbed-small-v0.1,0.033,384.0,512.0,45.01,35.16
94,Arabic-MiniLM-L12-v2-all-nli-triplet,0.118,384.0,512.0,51.13,35.06
162,jina-embedding-s-en-v1,0.035,512.0,512.0,39.16,34.7
128,Ivysaur,0.023,384.0,512.0,44.07,34.42
109,nomic-embed-text-v1.5,0.137,768.0,8192.0,44.84,34.09
132,all-mpnet-base-v2,0.109,768.0,384.0,43.76,33.8
