,Rank (Borda),Model,Zero-shot,Active Parameters (B),Total Parameters (B),Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Bitext Mining,Classification,Clustering,Instruction Reranking,Multilabel Classification,Pair Classification,Reranking,Retrieval,STS
0,1,[harrier-oss-v1-27b](https://huggingface.co/microsoft/harrier-oss-v1-27b),78%,25.599,27.009,5376.0,131072.0,74.27,64.2,86.02,79.95,58.93,5.39,36.44,85.44,67.35,78.27,79.99
1,2,[KaLM-Embedding-Gemma3-12B-2511](https://huggingface.co/tencent/KaLM-Embedding-Gemma3-12B-2511),73%,10.759,11.766,3840.0,32768.0,72.32,62.51,83.76,77.88,55.77,5.49,33.03,84.73,67.27,75.66,79.02
2,3,[llama-embed-nemotron-8b](https://huggingface.co/nvidia/llama-embed-nemotron-8b),99%,6.98,7.505,4096.0,32768.0,69.46,61.09,81.72,73.21,54.35,10.82,29.86,83.97,67.78,68.69,79.41
3,4,[Qwen3-Embedding-8B](https://huggingface.co/Qwen/Qwen3-Embedding-8B),99%,6.946,7.567,4096.0,32768.0,70.58,61.69,80.89,74.0,57.65,10.06,28.66,86.4,65.63,70.88,81.08
4,5,[gemini-embedding-001](https://ai.google.dev/gemini-api/docs/embeddings),99%,,,3072.0,2048.0,68.37,59.59,79.28,71.82,54.59,5.18,29.16,83.63,65.58,67.71,79.4
5,6,[Qwen3-Embedding-4B](https://huggingface.co/Qwen/Qwen3-Embedding-4B),99%,3.634,4.022,2560.0,32768.0,69.45,60.86,79.36,72.33,57.15,11.56,26.77,85.05,65.08,69.6,80.86
6,7,[Octen-Embedding-8B](https://huggingface.co/Octen/Octen-Embedding-8B),99%,6.946,7.567,4096.0,32768.0,67.84,60.28,80.35,66.68,55.68,8.9,25.23,85.12,67.64,71.61,81.27
7,8,[F2LLM-v2-14B](https://huggingface.co/codefuse-ai/F2LLM-v2-14B),88%,13.214,13.99,5120.0,40960.0,68.74,59.45,77.15,73.0,60.91,0.62,28.14,81.26,70.49,66.5,76.97
8,9,[F2LLM-v2-8B](https://huggingface.co/codefuse-ai/F2LLM-v2-8B),88%,6.947,7.568,4096.0,40960.0,68.09,58.99,75.96,71.93,60.62,0.85,27.38,81.18,70.34,66.15,76.47
9,10,[harrier-oss-v1-0.6b](https://huggingface.co/microsoft/harrier-oss-v1-0.6b),78%,0.44,0.596,1024.0,32768.0,69.01,59.0,82.85,73.88,54.0,0.81,26.37,82.07,63.16,70.75,77.09
10,11,[Seed1.6-embedding-1215](https://console.volcengine.com/ark/region:ark+cn-beijing/model/detail?Id=doubao-embedding-vision),89%,,,2048.0,32768.0,70.26,61.34,78.68,76.75,56.78,-0.02,46.16,85.5,66.24,66.05,75.92
11,12,[F2LLM-v2-4B](https://huggingface.co/codefuse-ai/F2LLM-v2-4B),88%,3.634,4.022,2560.0,40960.0,67.06,58.25,74.49,70.73,59.53,2.25,26.58,80.51,69.38,64.84,75.91
12,13,[jina-embeddings-v5-text-small](https://huggingface.co/jinaai/jina-embeddings-v5-text-small),⚠️ NA,0.44,0.596,1024.0,32768.0,67.0,58.9,69.71,71.32,53.41,1.35,41.97,82.93,65.66,64.88,78.85
13,13,[jina-embeddings-v5-omni-small](https://huggingface.co/jinaai/jina-embeddings-v5-omni-small),⚠️ NA,1.471,1.626,1024.0,32768.0,67.0,58.9,69.71,71.32,53.41,1.35,41.97,82.93,65.66,64.88,78.85
14,15,[F2LLM-v2-1.7B](https://huggingface.co/codefuse-ai/F2LLM-v2-1.7B),88%,1.41,1.721,2048.0,40960.0,65.21,56.78,73.18,67.68,58.77,0.56,26.04,79.87,67.17,61.97,75.77
15,16,[BidirLM-Omni-2.5B-Embedding](https://huggingface.co/BidirLM/BidirLM-Omni-2.5B-Embedding),99%,2.13,2.445,2048.0,32768.0,63.5,55.48,72.29,65.9,51.5,0.97,26.54,80.65,64.72,61.04,75.73
